Employer,Sum
FEDERAL DEFENDERS OF EASTERN WA AND ID,500
CONFIDENCE ANALYTICS LABORATORY,500
COLDWELL BANKER BAIN,500
"DSA DEVELOPMENT SERVICES, LLC",500
BRILLIO,500
US FEDERAL GOVERNMENT,500
LABKEY SOFTWARE,500
SEATTLE CHILDRENS HOSPITAL,500
NEW STORIES,500
IBEW,500
UW,500
PMA,490
NSELFONE,450
USPS,450
OLYMPIA UNITARIAN UNIVERSALIST CONGREG,450
EXPEDIA,450
THE WALT DISNEY COMPANY,450
DUGANS INC.,432
ARENANET,420
NINTENDO OF AMERICA,400
CLINICAL &AMP; FORENSIC PSYCHOLOGY,400
NW FLUID SOLUTIONS,400
AVANADE,400
QUOTEWIZARD,400
PIMA MEDICAL INSTITUTE,400
CHI,400
VALVE,400
STANLEY BLACK &AMP; DECKER,400
VAN DORM REALTY INC.,400
KYMATA DENTALL ARTS,400
SUSMAN GODFREY LLP,400
UW MEDICINE,400
APPLE AMERICAN GROUP,400
CARBON GAMES,400
"BOTHELL INTEGRATED HEALTH, LLC",400
VERIZON WIRELESS,400
"KINETA, INC.",400
HEALTH SYSTEMS INFORMATICS,400
SANMAR CORPORATION,400
GCI,400
DISNEY,400
FIVEBY,400
OPEN WINDOW SCHOOL,400
LOGIC20/20,400
PACIFIC MARITIME ASSOC,371
COMPLETE CASTING INC.,300
CONSULTANT,300
PENINSULA BEHAVIORAL HEALTH,300
LOCKWOOD GREEN ENGINEERS,300
NORTH SEATTLE COLLEGE,252
CHEEZBURGER INC..,250
DOCUSIGN,250
NONESELF,250
THE BOEING CO,250
UNIVERSIT? LAVAL,250
SOUTHERN WINE AND SPIRITS,250
GEOSEMIOTICS,250
U. OF WASHINGTON,250
NATIONAL RESEARCH CORPORATION,250
LAUNCH BRICK LABS,250
MY BAKER MERCANTILE,250
TITAN ELECTRIC,250
WORLD WIDE IMPORTS,250
KANTOR TAYLOR,250
FARMERS INSURANCE,250
NWEA,250
MILLER ENGINEERING INC.,250
AVALARA,250
VARIOUS,250
FARMER & BETTS,250
ELLIOTT BAY BREWING COMPANY,250
FIKSO KRETSCHMER SMITH DIXON ORMSETH P,250
VITAL REJUVENTAION,250
CASCADIANOW!,250
PORT OF PORTLAND,250
WASHINGTON STATE RESIDENTIAL CARE COUN,250
SEIU,250
INSITU INC.,250
CHASE BANK,250
SWEDISH,250
"HAGENS BERMAN SOBOL SHAPIRO, LLC",250
"CITY OF EVERETT, WA",250
KING COUNTY,250
MORNINGSIDE ACADEMY,250
SYMANTEC,250
UPS FREIGHT,250
CASNE ENGINEERING,250
GILBERT'S ON MAIN,250
HAGENS BERMAN SOBOL SHAPIRO,250
STARBUCKS COFFEE COMPANY,250
CASCADIA SOFTWARE,250
NAUTILUS INC.,250
COLVILLE TRIBES,250
TEKSYSTEMS,250
OLYMPIC ORTHODONTIC LAB INC,250
O'MELVENY & MYERS LLP,250
MULTICARE GOOD SAMARITAN HOSPITAL,250
PENN COVE VETERINARY CLINIC,250
BOAR CODE,250
CRANE,250
GRANITE CONSTRUCTION,250
ATG,250
EMC,250
NORDSTROM,250
WASHINGTON RESEARCH FOUNDATION,250
PEACEHEALTH SOUTHWEST,250
FEDERAL AVIATION ADMINISTRATION,250
TABLEAU SOFTWARE INC,250
SEATTLE KING COUNTY HEALTH DEPARTMENT,250
SEATTLE PUBLIC SCHOOLS,250
EVERGREENHEALTH,250
OMEGA LABS INC,250
ACP,250
MBI CONSTRUCTION SERVICES,250
WASHINGTON STATE DBHR,250
WA STATE PARKS,250
CODY INC,250
LUCERNEX TECHNOLOGIES,250
SEATTLE SCHOOLS,250
STRATOS GENOMICS,250
ARCHDIOCESE OF SEATTLE,250
"GOOGLE, INC",250
GILEAD SCIENCES,250
U.S. GOVT,250
MERCENARY TECHNOLOGIES LLC,250
FUN BITS INTERACTIVE,250
ANCHORQEA,250
ADECCO,250
ARAMARK,250
UNITED AIRLINES,250
INFOSPACE,250
"SUNLIGHT SUPPLY, INC.",250
ROOSTERPARK,250
U.S. FOREST SERVICE,250
VAROLII CORPORATION,250
WA STATE DEPT. OF HEALTH,250
BAY CENTER FARMS,250
WSI,250
TRANSPO GROUP,250
UNIV. OF WASHINGTON,250
QUIST GROUP LLC,250
FHCRC,250
BOSTON DAY LLC,250
BIG FISH GAMES,250
ACCMAN INC.,250
PROVIDENCE HEALTH & SERVICES,250
SCHOOL OF TEACHING ENGLISH AS A SECOND,250
AGILITAS,250
CABLECRAFT MOTION CONTROLS,250
MOUNT VERNON SCHOOL DISTRICT,250
BECHTEL,250
"FUNCTIONALIZE, INC.",250
TROUT LAKE SD,250
ASC,250
"AMAZON.COM, INC.",250
HHMI,249
THE BOEING COMPANY,246
LYFT,240
YELM FOOD CO-OP,225
INTELLISWIFT,220
RUNBERG ARCH GROUP,216
EDMONDS SCHOOL DISTRICT #15,208
INLANDBOATMEN'S UNION OF THE PACIFIC,202
IID,200
STROUM JEWISH COMMUNITY CENETR,200
MR.,200
PROTINGENT,200
"GOOGLE, INC.",200
SEATTLE AIR CARGO,200
FRAMEWORK CULTURAL PLACEMAKING,200
HHS,200
CWV,200
KOTIS DESIGN,200
LUMMI TRIBE,200
GIANT ARMY,200
AOL,200
"OUTERWALL, INC.",200
PERKINS COIE LLP,200
STANDARD REGISTER,200
KING-TV,200
GAELSONG INC.,200
NWPA,200
ORL,200
MAKAH TRIBE,200
VIEVU,200
SOLID GROUND TRANSPORT,200
LZAZ #23 TACOMA WA,200
